,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount,Date,Day 1 Total Amount,Day 2 Total Amount,Day 3 Total Amount,Day 4 Total Amount,Day 5 Total Amount,Day 6 Total Amount,Day 7 Total Amount,Day 8 Total Amount,Day 9 Total Amount,Day 10 Total Amount,Day 11 Total Amount,Day 12 Total Amount,Day 13 Total Amount,Day 14 Total Amount,Day 15 Total Amount,Day 16 Total Amount,Day 17 Total Amount,Day 18 Total Amount,Day 19 Total Amount,Day 20 Total Amount,Day 21 Total Amount,Day 22 Total Amount,Day 23 Total Amount,Day 24 Total Amount,Day 25 Total Amount,Day 26 Total Amount,Day 27 Total Amount,Day 28 Total Amount,Day 29 Total Amount,Day 30 Total Amount,Day 31 Total Amount,Day 32 Total Amount,Day 33 Total Amount,Day 34 Total Amount,Day 35 Total Amount,Day 36 Total Amount,Day 37 Total Amount,Day 38 Total Amount,Day 39 Total Amount,Day 40 Total Amount
169,2023-04-11,562.9,JINDALSTEL.NS,2023-04-18,566.5,2023-05-17,538.175,Stop Loss,21,538.175,44,25000,-1246.3,23753.7,2023-04-11,25000,25587.4,25794.2,25288.2,25444.4,25402.6,25171.6,25569.8,25719.4,26155,25972.4,26256.2,25730.4,26161.6,25930.6,25803,25679.8,25336.6,25376.2,24731.6,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7,23753.7
170,2023-04-19,579.85,JINDALSTEL.NS,2023-04-25,575.65,2023-05-17,546.8675,Stop Loss,16,546.8675,43,25000,-1237.6475,23762.3525,2023-04-19,25000,24774.25,25163.4,25309.6,25735.3,25556.85,25834.2,25320.35,25741.75,25516,25391.3,25270.9,24935.5,24974.2,24344.25,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525,23762.3525
171,2023-06-16,544.2,JINDALSTEL.NS,2023-06-22,584.1,2023-08-18,641.05,40th Day,40,554.895,42,25000,2391.9,27391.9,2023-06-16,25000,24359.5,24311.2,24909.7,24909.7,24871.9,25459.9,26050,26703.1,26230.6,26096.2,26774.5,26780.8,26579.2,27076.9,27415,27259.6,27100,27349.9,27236.5,26848,26900.5,28385.2,28087,28179.4,28410.4,28555.3,28668.7,27515.8,27625,27881.2,28080.7,28103.8,28983.7,28874.5,29792.2,28282.3,27681.7,27566.2,27391.9
172,2023-07-25,664.7,JINDALSTEL.NS,2023-07-31,668.75,2023-08-25,635.3125,Stop Loss,19,635.3125,37,25000,-1237.1875,23762.8125,2023-07-25,25000,25099.9,24084.25,24180.45,24406.15,24581.9,24602.25,25377.4,25281.2,26089.65,24759.5,24230.4,24128.65,23975.1,24439.45,24522.7,24704,24272.95,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125,23762.8125
173,2023-03-29,678.9,JSWSTEEL.NS,2023-04-06,682.7,2023-06-05,712.15,40th Day,40,648.565,36,25000,1060.2,26060.2,2023-03-29,25000,25208.8,26112.4,26279.8,26366.2,26386,26319.4,26427.4,26191.6,26006.2,26355.4,26522.8,26467,26778.4,26533.6,26987.2,26791,27016,26823.4,26803.6,26508.4,26499.4,26004.4,25718.2,25822.6,25721.8,25446.4,25336.6,25401.4,25788.4,25770.4,25478.8,25502.2,25684,25702,25788.4,25489.6,25401.4,25860.4,26060.2
174,2023-04-11,713.6,JSWSTEEL.NS,2023-04-18,719.35,2023-06-13,756.65,40th Day,40,683.3825,34,25000,1268.2,26268.2,2023-04-11,25000,25102,24879.3,24704.2,25034,25192.1,25139.4,25433.5,25202.3,25630.7,25445.4,25657.9,25476,25457.3,25178.5,25170,24702.5,24432.2,24530.8,24435.6,24175.5,24071.8,24133,24498.5,24481.5,24206.1,24228.2,24399.9,24416.9,24498.5,24216.3,24133,24566.5,24755.2,24779,25353.6,26001.3,25991.1,25950.3,26268.2
175,2023-06-07,729.75,JSWSTEEL.NS,2023-06-13,756.65,2023-08-08,801.3,40th Day,40,718.8175,33,25000,1473.45,26473.45,2023-06-07,25000,25534.6,25460.35,25641.85,25495,25544.5,25069.3,24858.1,24665.05,24740.95,25193.05,25193.05,25928.95,26232.55,26320,26163.25,26283.7,26047.75,26780.35,26344.75,26618.65,26501.5,26590.6,26369.5,26130.25,26163.25,26399.2,25983.4,25627,26448.7,26610.4,26224.3,26567.5,26983.3,27120.25,26570.8,26577.4,26626.9,26861.2,26473.45
176,2023-05-05,560.05,LICI.NS,2023-05-11,561,2023-07-06,627.9,40th Day,40,532.95,44,25000,2943.6,27943.6,2023-05-05,25000,25048.4,25292.6,25286,25396,25314.6,25176,25726,26282.6,26447.6,26874.4,26905.2,26944.8,26755.6,26502.6,26590.6,26577.4,26566.4,26617,26775.4,26865.6,26801.8,26586.2,26667.6,26540,26557.6,26911.8,27521.2,28051.4,28302.2,28553,27813.8,27415.6,27455.2,27455.2,28135,27994.2,27855.6,27893,27943.6
177,2023-06-19,618.3,LICI.NS,2023-06-23,624.95,2023-08-21,652.15,40th Day,40,593.7025,40,25000,1088,26088,2023-06-19,25000,24638,24674,24674,25292,25164,25038,25072,25118,24906,24744,24874,24820,24630,24750,24838,24830,24816,25132,25432,25068,24924,25120,25212,25072,25600,25892,25652,25784,26342,26224,25748,25760,25670,26396,26234,25972,26388,26034,26088
178,2023-04-05,2257.75,LT.NS,2023-04-12,2288.5,2023-06-08,2340.3,40th Day,40,2174.075,10,25000,518,25518,2023-04-05,25000,24702.5,24255,24281,24311,24442.5,24267,24404,24594.5,24876.5,25171,25759,25959.5,25678,25684,25890,25769,25858.5,25759.5,24536.5,24326,24583.5,24387,24311,23997,24015.5,24281,24091.5,23966.5,24162,24299.5,24360.5,24223,24171.5,24193,24460.5,24798,24894.5,25270,25518
