,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount,Date,Day 1 Total Amount,Day 2 Total Amount,Day 3 Total Amount,Day 4 Total Amount,Day 5 Total Amount,Day 6 Total Amount,Day 7 Total Amount,Day 8 Total Amount,Day 9 Total Amount,Day 10 Total Amount,Day 11 Total Amount,Day 12 Total Amount,Day 13 Total Amount,Day 14 Total Amount,Day 15 Total Amount,Day 16 Total Amount,Day 17 Total Amount,Day 18 Total Amount,Day 19 Total Amount,Day 20 Total Amount,Day 21 Total Amount,Day 22 Total Amount,Day 23 Total Amount,Day 24 Total Amount,Day 25 Total Amount,Day 26 Total Amount,Day 27 Total Amount,Day 28 Total Amount,Day 29 Total Amount,Day 30 Total Amount,Day 31 Total Amount,Day 32 Total Amount,Day 33 Total Amount,Day 34 Total Amount,Day 35 Total Amount,Day 36 Total Amount,Day 37 Total Amount,Day 38 Total Amount,Day 39 Total Amount,Day 40 Total Amount
21,2023-06-01,4814.25,APOLLOHOSP.NS,2023-06-07,5026.45,2023-08-02,4996.75,40th Day,40.0,4775.1275,4.0,25000,-118.79999999999927,24881.2,2023-06-01,25000,24600.8,24601.0,24593.2,24698.4,24930.2,25769.2,25694.4,25474.2,25542.4,25369.2,25158.2,25076.0,25042.0,25465.4,25401.8,25287.0,25168.2,25334.0,25204.8,26026.4,25479.2,25527.600000000002,25922.2,25902.4,25622.2,25581.4,25771.4,25544.600000000002,25596.600000000002,25676.0,25713.8,25617.4,25743.0,25517.2,25756.2,26282.0,25588.0,25023.8,24881.2
22,2023-06-15,5218.75,APOLLOHOSP.NS,2023-06-21,5118.75,2023-08-14,4862.8125,Stop Loss,38.0,4862.8125,4.0,25000,-1023.75,23976.25,2023-06-15,25000,24789.0,24706.8,24672.8,25096.2,25032.6,24917.8,24799.0,24964.8,24835.6,25657.2,25110.0,25158.4,25553.0,25533.2,25253.0,25212.2,25402.2,25175.4,25227.4,25306.8,25344.6,25248.2,25373.8,25148.0,25387.0,25912.8,25218.8,24654.6,24512.0,24510.2,24446.2,24582.6,24618.4,24450.4,24215.0,24149.6,23976.25,23976.25,23976.25
23,2023-05-04,2982.85,ASIANPAINT.NS,2023-05-10,3041.4,2023-07-05,3374.4,40th Day,40.0,2889.33,8.0,25000,2664.0,27664.0,2023-05-04,25000,25786.8,25717.6,25724.8,25773.6,25408.399999999998,25541.2,25344.399999999998,25348.0,25633.6,25480.8,25657.2,25696.0,25768.0,25824.0,26212.399999999998,26594.399999999998,26566.8,26266.8,26370.8,26467.2,26366.8,26113.2,26226.8,26771.6,26830.399999999998,27023.6,27203.6,27146.399999999998,27218.399999999998,27197.6,26653.2,27050.399999999998,27134.0,27276.8,27454.8,27565.2,27538.399999999998,27450.399999999998,27664.0
24,2023-05-11,3139.75,ASIANPAINT.NS,2023-05-17,3092.45,2023-07-12,3406.75,40th Day,40.0,2937.8275,8.0,25000,2514.4000000000015,27514.4,2023-05-11,25000,25132.800000000003,24936.0,24939.600000000002,25225.2,25072.4,25248.800000000003,25287.600000000002,25359.600000000002,25415.600000000002,25804.0,26186.0,26158.4,25858.4,25962.4,26058.800000000003,25958.4,25704.800000000003,25818.4,26363.2,26422.0,26615.2,26795.2,26738.0,26810.0,26789.2,26244.800000000003,26642.0,26725.600000000002,26868.4,27046.4,27156.800000000003,27130.0,27042.0,27255.600000000002,27455.600000000002,27010.0,27005.600000000002,27400.800000000003,27514.4
25,2023-05-31,3192.95,ASIANPAINT.NS,2023-06-06,3212.75,2023-08-01,3342.95,40th Day,40.0,3052.1124999999997,7.0,25000,911.3999999999987,25911.399999999998,2023-05-31,25000,25084.350000000002,24996.5,24774.600000000002,24874.0,25350.7,25402.15,25571.2,25728.7,25678.65,25741.65,25723.45,25247.100000000002,25594.65,25667.800000000003,25792.750000000004,25948.500000000004,26045.100000000006,26021.65,25944.65,26131.550000000003,26306.550000000003,25916.65,25912.800000000003,26258.600000000002,26358.0,26300.600000000002,26519.0,26733.55,27104.899999999998,27113.3,27192.75,27134.649999999998,27316.649999999998,26313.55,26121.75,26096.55,26245.649999999998,26152.199999999997,25911.399999999998
26,2023-06-13,3262.85,ASIANPAINT.NS,2023-06-19,3309.7,2023-08-14,3202.6,40th Day,40.0,3144.2149999999997,7.0,25000,-749.6999999999994,24250.3,2023-06-13,25000,25063.0,25044.8,24568.45,24916.0,24989.15,25114.100000000002,25269.850000000002,25366.450000000004,25343.0,25266.0,25452.9,25627.9,25238.0,25234.15,25579.95,25679.35,25621.95,25840.35,26054.899999999998,26426.249999999996,26434.649999999998,26514.1,26455.999999999996,26637.999999999996,25634.899999999998,25443.1,25417.899999999998,25566.999999999996,25473.549999999996,25232.749999999996,25372.399999999998,25186.549999999996,25209.649999999998,25233.1,25268.45,25149.1,24497.399999999998,24129.549999999996,24250.299999999996
27,2023-07-18,3513.45,ASIANPAINT.NS,2023-07-24,3543.7,2023-08-01,3366.515,Stop Loss,7.0,3366.515,7.0,25000,-1240.2949999999996,23759.705,2023-07-18,25000,23996.9,23805.100000000002,23779.9,23929.0,23835.55,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705,23759.705
28,2023-03-08,861.35,ATGL.NS,2023-03-14,947.2,2023-03-16,899.84,Stop Loss,3.0,899.84,26.0,25000,-1231.3600000000004,23768.64,2023-03-08,25000,24288.899999999998,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64,23768.64
29,2023-05-22,444.3,AWL.NS,2023-05-26,450.4,2023-06-09,427.87999999999994,Stop Loss,11.0,427.87999999999994,55.0,25000,-1238.6000000000022,23761.399999999998,2023-05-22,25000,24848.75,24191.5,24213.500000000004,24540.750000000004,24293.250000000004,24001.750000000004,23858.750000000004,24087.000000000007,23864.250000000007,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998,23761.399999999998
30,2023-05-09,888.25,AXISBANK.NS,2023-05-15,915.8,2023-07-10,964.05,40th Day,40.0,870.0099999999999,27.0,25000,1302.75,26302.75,2023-05-09,25000,25054.0,24973.0,24970.300000000003,25222.75,25047.25,25009.45,25051.300000000003,25141.75,25301.050000000003,25378.0,25584.550000000003,24974.350000000002,25105.300000000003,25278.100000000002,25946.350000000002,26414.800000000003,26645.65,26250.100000000002,26591.65,26576.800000000003,26891.350000000002,26671.300000000003,26656.45,26775.25,26345.95,26594.350000000002,26355.4,26371.600000000002,26150.2,26208.25,26551.15,26684.800000000003,26934.550000000003,26790.100000000002,26482.300000000003,26368.9,26759.050000000003,26644.300000000003,26302.75
31,2023-01-24,3686.5,BAJAJ-AUTO.NS,2023-01-31,3818.25,2023-03-28,3791.6,40th Day,40.0,3627.3374999999996,6.0,25000,-159.90000000000055,24840.1,2023-01-24,25000,24958.300000000003,24834.7,25205.800000000003,25185.100000000002,25367.2,25372.300000000003,25165.0,25080.4,25391.5,25347.1,25522.9,25530.1,25456.3,25513.3,25113.1,25134.699999999997,25081.899999999998,25190.199999999997,23929.6,24057.699999999997,24480.399999999998,24381.999999999996,24482.499999999996,24428.799999999996,24957.699999999993,24971.499999999993,25021.899999999994,24761.199999999993,24607.899999999994,24470.499999999993,24891.69999999999,24976.89999999999,24920.49999999999,25524.69999999999,25634.19999999999,25268.19999999999,25057.89999999999,24935.799999999992,24840.09999999999
32,2023-04-03,3993.75,BAJAJ-AUTO.NS,2023-04-11,4177.4,2023-06-07,4780.75,40th Day,40.0,3968.5299999999993,5.0,25000,3016.750000000002,28016.75,2023-04-03,25000,25543.0,25554.75,25384.75,25159.25,25442.0,25684.75,25654.5,25773.5,25825.75,25608.0,26154.0,26272.75,26603.0,26352.25,26401.499999999996,26428.5,26859.25,26757.25,26892.749999999996,26852.499999999996,26807.499999999996,26935.75,26804.75,26759.75,26706.249999999996,26528.999999999996,26729.249999999996,26603.5,26701.0,27333.0,27192.75,27205.5,27072.5,26948.75,27331.000000000004,27458.500000000004,27663.250000000004,27744.250000000004,28016.750000000004
33,2023-04-11,4177.4,BAJAJ-AUTO.NS,2023-04-18,4209.25,2023-06-13,4755.95,40th Day,40.0,3998.7875,5.0,25000,2733.499999999999,27733.5,2023-04-11,25000,25282.75,25525.5,25495.25,25614.25,25666.5,25448.75,25994.75,26113.5,26443.75,26193.0,26242.249999999996,26269.25,26700.0,26598.0,26733.499999999996,26693.249999999996,26648.249999999996,26776.5,26645.5,26600.5,26546.999999999996,26369.749999999996,26569.999999999996,26444.25,26541.75,27173.75,27033.5,27046.25,26913.25,26789.5,27171.750000000004,27299.250000000004,27504.000000000004,27585.000000000004,27857.500000000004,27957.0,27670.75,27802.0,27733.5
34,2023-05-08,4549.25,BAJAJ-AUTO.NS,2023-05-12,4538.9,2023-07-07,4834.0,40th Day,40.0,4311.954999999999,5.0,25000,1475.5000000000018,26475.5,2023-05-08,25000,25128.250000000004,24997.250000000004,24952.250000000004,24898.75,24721.5,24921.75,24796.0,24893.5,25525.5,25385.25,25398.0,25265.0,25141.25,25523.500000000004,25651.000000000004,25855.750000000004,25936.750000000004,26209.250000000004,26308.75,26022.5,26153.75,26085.25,25956.5,25913.25,25515.25,25292.250000000004,25615.5,25556.25,25366.000000000004,25418.500000000004,25340.0,25395.750000000004,25887.000000000004,25763.250000000004,25358.75,25432.5,26755.750000000004,26894.0,26475.5
35,2023-06-07,4780.75,BAJAJ-AUTO.NS,2023-06-13,4755.95,2023-08-08,4650.15,40th Day,40.0,4518.152499999999,5.0,25000,-529.0000000000009,24471.0,2023-06-07,25000,24871.25,24828.0,24430.0,24207.000000000004,24530.25,24471.0,24280.750000000004,24333.250000000004,24254.75,24310.500000000004,24801.750000000004,24678.000000000004,24273.5,24347.25,25670.500000000004,25808.75,25390.25,25710.0,25808.5,25612.5,25552.5,25518.250000000004,25386.0,25523.250000000004,25338.5,25563.75,25533.75,25634.0,25465.0,25572.5,25475.25,25682.75,25877.25,25840.0,25380.750000000004,25351.750000000004,24780.250000000004,24570.750000000007,24471.000000000004
36,2023-07-05,4890.05,BAJAJ-AUTO.NS,2023-07-11,4917.65,2023-08-07,4671.767499999999,Stop Loss,20.0,4671.767499999999,5.0,25000,-1229.412500000003,23770.587499999998,2023-07-05,25000,24804.0,24744.0,24709.750000000004,24577.5,24714.750000000004,24530.0,24755.25,24725.25,24825.5,24656.5,24764.0,24666.75,24874.25,25068.75,25031.5,24572.250000000004,24543.250000000004,23971.750000000004,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998,23770.587499999998
37,2023-02-09,1400.25,BAJAJFINSV.NS,2023-02-15,1420.8,2023-02-23,1349.76,Stop Loss,7.0,1349.76,17.0,25000,-1207.6799999999994,23792.32,2023-02-09,25000,25125.800000000003,24885.25,24724.6,24549.5,23982.550000000003,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32,23792.32
38,2023-04-06,1303.95,BAJAJFINSV.NS,2023-04-13,1341.3,2023-06-09,1466.5,40th Day,40.0,1274.235,18.0,25000,2253.600000000001,27253.600000000002,2023-04-06,25000,24997.300000000003,24890.2,24820.899999999998,24834.399999999998,24578.800000000003,24612.100000000002,25081.0,24881.2,25336.6,25240.3,25139.499999999996,25102.6,25596.7,25323.1,26142.999999999996,26213.199999999997,26316.699999999997,26423.8,26478.699999999997,26440.899999999994,26566.899999999994,26333.799999999996,26334.699999999993,26328.39999999999,26290.59999999999,26727.09999999999,26532.699999999993,26548.89999999999,26761.299999999996,26948.499999999993,27241.89999999999,26975.499999999993,26959.299999999996,27087.099999999995,27116.799999999996,27408.399999999994,27512.799999999996,27269.799999999996,27253.599999999995
39,2023-04-13,1341.3,BAJAJFINSV.NS,2023-04-20,1332.1,2023-06-15,1474.7,40th Day,40.0,1265.495,18.0,25000,2566.8000000000025,27566.800000000003,2023-04-13,25000,24744.4,24777.7,25246.6,25046.8,25502.199999999997,25405.899999999998,25305.099999999995,25268.199999999997,25762.3,25488.699999999997,26308.599999999995,26378.799999999996,26482.299999999996,26589.399999999998,26644.299999999996,26606.499999999993,26732.499999999993,26499.399999999994,26500.299999999992,26493.99999999999,26456.19999999999,26892.69999999999,26698.299999999992,26714.49999999999,26926.899999999994,27114.09999999999,27407.49999999999,27141.09999999999,27124.899999999994,27252.699999999993,27282.399999999994,27573.999999999993,27678.399999999994,27435.399999999994,27419.199999999993,27410.199999999993,27773.799999999996,27669.399999999998,27566.799999999996
40,2023-04-27,1360.0,BAJAJFINSV.NS,2023-05-04,1374.45,2023-06-28,1518.85,40th Day,40.0,1305.7275,18.0,25000,2599.1999999999975,27599.199999999997,2023-04-27,25000,24726.399999999998,25546.299999999996,25616.499999999996,25719.999999999996,25827.1,25881.999999999996,25844.199999999993,25970.199999999993,25737.1,25737.999999999996,25731.699999999993,25693.899999999994,26130.399999999994,25935.999999999996,25952.199999999993,26164.6,26351.799999999996,26645.199999999993,26378.799999999996,26362.6,26490.399999999998,26520.1,26811.699999999997,26916.1,26673.1,26656.899999999998,26647.899999999998,27011.5,26907.100000000002,26804.5,27414.699999999997,28015.0,27638.8,27606.4,27397.600000000002,27295.0,27395.8,27673.0,27599.199999999997
41,2023-06-16,1508.6,BAJAJFINSV.NS,2023-06-22,1507.65,2023-08-18,1460.15,40th Day,40.0,1432.2675,16.0,25000,-760.0,24240.0,2023-06-16,25000,24908.8,24998.399999999998,25244.8,25179.199999999997,25325.6,25519.199999999997,26949.6,26696.8,26796.0,26716.0,26442.399999999998,26356.0,26368.8,26719.199999999997,26704.8,26641.6,26770.399999999998,27183.199999999997,27050.399999999998,27003.199999999997,27397.6,27259.199999999997,26900.8,26710.399999999998,26235.199999999997,26450.399999999998,26035.199999999997,25309.6,24776.0,24658.399999999998,25012.0,25129.6,25143.199999999997,25188.0,24941.6,24590.399999999998,24395.199999999997,24507.199999999997,24240.0
