,Breakout Date,Breakout Price,Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Exit On,Holding Duration,Stop Loss,Stocks Purchased,initial-investment,Profit/Loss,Final amount
174,2023-01-24,338.95,ITC.NS,2023-01-31,352.35,2023-03-28,379.75,40th Day,40.0,334.7325,70.0,25000,1917.9999999999984,26918.0
175,2023-04-11,396.0,ITC.NS,2023-04-18,398.5,2023-06-13,445.4,40th Day,40.0,378.575,62.0,25000,2907.7999999999984,27907.8
176,2023-04-21,408.25,ITC.NS,2023-04-27,416.0,2023-06-22,447.65,40th Day,40.0,395.2,60.0,25000,1898.9999999999986,26899.0
177,2023-04-27,416.0,ITC.NS,2023-05-04,424.6,2023-06-28,449.35,40th Day,40.0,403.37,58.0,25000,1435.5,26435.5
178,2023-06-15,448.1,ITC.NS,2023-06-21,447.05,2023-08-17,441.0,40th Day,40.0,424.6975,55.0,25000,-332.7500000000006,24667.25
179,2023-07-03,463.25,ITC.NS,2023-07-07,468.4,2023-08-17,444.97999999999996,Stop Loss,29.0,444.97999999999996,53.0,25000,-1241.260000000001,23758.739999999998
180,2023-04-11,562.9,JINDALSTEL.NS,2023-04-18,566.5,2023-05-17,538.175,Stop Loss,21.0,538.175,44.0,25000,-1246.300000000002,23753.699999999997
181,2023-04-19,579.85,JINDALSTEL.NS,2023-04-25,575.65,2023-05-17,546.8675,Stop Loss,16.0,546.8675,43.0,25000,-1237.6475000000012,23762.352499999997
182,2023-06-16,544.2,JINDALSTEL.NS,2023-06-22,584.1,2023-08-18,641.05,40th Day,40.0,554.895,42.0,25000,2391.899999999997,27391.899999999998
183,2023-07-25,664.7,JINDALSTEL.NS,2023-07-31,668.75,2023-08-25,635.3125,Stop Loss,19.0,635.3125,37.0,25000,-1237.1875,23762.8125
184,2023-03-29,678.9,JSWSTEEL.NS,2023-04-06,682.7,2023-06-05,712.15,40th Day,40.0,648.565,36.0,25000,1060.1999999999975,26060.199999999997
185,2023-04-11,713.6,JSWSTEEL.NS,2023-04-18,719.35,2023-06-13,756.65,40th Day,40.0,683.3824999999999,34.0,25000,1268.1999999999985,26268.199999999997
186,2023-06-07,729.75,JSWSTEEL.NS,2023-06-13,756.65,2023-08-08,801.3,40th Day,40.0,718.8175,33.0,25000,1473.4499999999994,26473.45
187,2023-06-28,783.4,JSWSTEEL.NS,2023-07-05,791.9,2023-08-30,787.15,40th Day,40.0,752.305,31.0,25000,-147.25,24852.75
188,2023-05-05,560.05,LICI.NS,2023-05-11,561.0,2023-07-06,627.9,40th Day,40.0,532.9499999999999,44.0,25000,2943.599999999999,27943.6
189,2023-06-19,618.3,LICI.NS,2023-06-23,624.95,2023-08-21,652.15,40th Day,40.0,593.7025,40.0,25000,1087.9999999999973,26087.999999999996
190,2023-04-05,2257.75,LT.NS,2023-04-12,2288.5,2023-06-08,2340.3,40th Day,40.0,2174.075,10.0,25000,518.0000000000018,25518.0
191,2023-06-05,2268.3,LT.NS,2023-06-09,2363.0,2023-08-04,2626.9,40th Day,40.0,2244.85,10.0,25000,2639.000000000001,27639.0
192,2023-06-30,2475.55,LT.NS,2023-07-06,2488.6,2023-08-31,2702.7,40th Day,40.0,2364.1699999999996,10.0,25000,2140.999999999999,27141.0
194,2023-05-19,4803.0,LTIM.NS,2023-05-25,4910.55,2023-07-20,4985.05,40th Day,40.0,4665.0225,5.0,25000,372.5,25372.5
195,2023-05-25,4910.55,LTIM.NS,2023-05-31,4998.4,2023-07-26,4860.55,40th Day,40.0,4748.48,5.0,25000,-689.2499999999973,24310.750000000004
196,2023-06-16,5010.6,LTIM.NS,2023-06-22,5026.05,2023-08-18,5085.15,40th Day,40.0,4774.7475,4.0,25000,236.39999999999782,25236.399999999998
197,2023-06-30,5197.2,LTIM.NS,2023-07-06,5178.2,2023-07-12,4919.29,Stop Loss,5.0,4919.29,4.0,25000,-1035.6399999999994,23964.36
198,2023-01-09,1310.35,M&M.NS,2023-01-13,1328.15,2023-02-27,1261.7425,Stop Loss,31.0,1261.7425,18.0,25000,-1195.3350000000005,23804.665
199,2023-01-31,1378.75,M&M.NS,2023-02-06,1376.0,2023-02-24,1307.2,Stop Loss,15.0,1307.2,18.0,25000,-1238.3999999999992,23761.600000000002
200,2023-05-09,1245.45,M&M.NS,2023-05-15,1285.65,2023-07-10,1551.4,40th Day,40.0,1221.3675,19.0,25000,5049.25,30049.25
201,2023-05-29,1330.15,M&M.NS,2023-06-02,1341.4,2023-07-28,1467.8,40th Day,40.0,1274.33,18.0,25000,2275.1999999999975,27275.199999999997
202,2023-06-05,1395.4,M&M.NS,2023-06-09,1370.65,2023-08-04,1464.65,40th Day,40.0,1302.1175,18.0,25000,1692.0,26692.0
203,2023-06-30,1453.6,M&M.NS,2023-07-06,1548.8,2023-07-27,1471.36,Stop Loss,16.0,1471.36,16.0,25000,-1239.0400000000009,23760.96
204,2023-07-06,1548.8,M&M.NS,2023-07-12,1570.85,2023-07-27,1492.3075,Stop Loss,12.0,1492.3075,15.0,25000,-1178.1375000000003,23821.8625
206,2023-05-08,530.7,MARICO.NS,2023-05-12,541.5,2023-07-07,517.05,40th Day,40.0,514.425,46.0,25000,-1124.700000000002,23875.3
207,2023-01-24,8698.8,MARUTI.NS,2023-01-31,8895.3,2023-03-16,8450.534999999998,Stop Loss,32.0,8450.534999999998,2.0,25000,-889.5300000000025,24110.469999999998
208,2023-04-03,8503.05,MARUTI.NS,2023-04-11,8659.55,2023-06-07,9707.5,40th Day,40.0,8226.572499999998,2.0,25000,2095.9000000000015,27095.9
209,2023-04-11,8659.55,MARUTI.NS,2023-04-18,8732.65,2023-06-13,9517.5,40th Day,40.0,8296.0175,2.0,25000,1569.7000000000007,26569.7
210,2023-05-02,8776.85,MARUTI.NS,2023-05-08,9076.25,2023-07-03,9673.0,40th Day,40.0,8622.4375,2.0,25000,1193.5,26193.5
211,2023-05-09,9111.55,MARUTI.NS,2023-05-15,9207.3,2023-07-10,9736.3,40th Day,40.0,8746.935,2.0,25000,1058.0,26058.0
212,2023-05-26,9399.95,MARUTI.NS,2023-06-01,9328.3,2023-07-27,9753.6,40th Day,40.0,8861.884999999998,2.0,25000,850.6000000000022,25850.600000000002
213,2023-06-30,9789.05,MARUTI.NS,2023-07-06,9859.4,2023-08-11,9366.429999999998,Stop Loss,27.0,9366.429999999998,2.0,25000,-985.9400000000023,24014.059999999998
214,2023-03-14,768.35,MCDOWELL-N.NS,2023-03-20,765.85,2023-05-19,817.05,40th Day,40.0,727.5575,32.0,25000,1638.3999999999978,26638.399999999998
215,2023-04-28,3776.2,NAUKRI.NS,2023-05-05,3816.35,2023-06-30,4483.65,40th Day,40.0,3625.5325,6.0,25000,4003.7999999999984,29003.8
216,2023-05-26,4197.75,NAUKRI.NS,2023-06-01,4218.65,2023-07-27,4570.75,40th Day,40.0,4007.7174999999993,5.0,25000,1760.5000000000018,26760.5
217,2023-07-13,4625.5,NAUKRI.NS,2023-07-19,4679.5,2023-08-14,4445.525,Stop Loss,19.0,4445.525,5.0,25000,-1169.8750000000018,23830.125
218,2023-05-02,175.6,NTPC.NS,2023-05-08,177.05,2023-07-03,191.25,40th Day,40.0,168.1975,141.0,25000,2002.1999999999985,27002.199999999997
219,2023-06-08,182.05,NTPC.NS,2023-06-14,187.2,2023-08-09,218.7,40th Day,40.0,177.83999999999997,133.0,25000,4189.5,29189.5
221,2023-01-19,151.75,ONGC.NS,2023-01-25,152.45,2023-02-01,144.8275,Stop Loss,5.0,144.8275,163.0,25000,-1242.4675000000004,23757.5325
222,2023-02-16,155.9,ONGC.NS,2023-02-22,153.6,2023-04-25,160.65,40th Day,40.0,145.92,162.0,25000,1142.1000000000017,26142.100000000002
223,2023-06-14,157.85,ONGC.NS,2023-06-20,157.25,2023-08-16,179.05,40th Day,40.0,149.3875,158.0,25000,3444.400000000002,28444.4
225,2023-04-18,2432.5,PIDILITIND.NS,2023-04-24,2421.15,2023-06-19,2673.3,40th Day,40.0,2300.0925,10.0,25000,2521.500000000001,27521.5
226,2023-06-01,2651.55,PIDILITIND.NS,2023-06-07,2654.85,2023-08-02,2626.75,40th Day,40.0,2522.1074999999996,9.0,25000,-252.89999999999918,24747.100000000002
227,2023-06-13,2686.65,PIDILITIND.NS,2023-06-19,2673.3,2023-08-10,2539.635,Stop Loss,38.0,2539.635,9.0,25000,-1202.9849999999997,23797.015
228,2023-04-18,3153.3,PIIND.NS,2023-04-24,3112.95,2023-06-19,3854.0,40th Day,40.0,2957.3025,8.0,25000,5928.4000000000015,30928.4
229,2023-04-28,3384.5,PIIND.NS,2023-05-05,3443.2,2023-05-18,3271.0399999999995,Stop Loss,10.0,3271.0399999999995,7.0,25000,-1205.1200000000022,23794.879999999997
230,2023-06-07,3679.4,PIIND.NS,2023-06-13,3761.45,2023-07-25,3573.3774999999996,Stop Loss,30.0,3573.3774999999996,6.0,25000,-1128.4350000000013,23871.565
231,2023-08-02,3684.7,PIIND.NS,2023-08-08,3850.75,2023-08-25,3658.2124999999996,Stop Loss,13.0,3658.2124999999996,6.0,25000,-1155.2250000000022,23844.774999999998
233,2023-03-31,2151.56,RELIANCE.NS,2023-04-10,2145.84,2023-06-06,2288.44,40th Day,40.0,2038.548,11.0,25000,1568.599999999999,26568.6
236,2023-03-31,740.2,SBICARD.NS,2023-04-10,739.5,2023-06-06,926.05,40th Day,40.0,702.525,33.0,25000,6156.149999999999,31156.149999999998
237,2023-05-04,796.55,SBICARD.NS,2023-05-10,824.25,2023-07-05,836.45,40th Day,40.0,783.0374999999999,30.0,25000,366.00000000000136,25366.0
238,2023-05-11,865.65,SBICARD.NS,2023-05-17,879.4,2023-07-11,835.43,Stop Loss,39.0,835.43,28.0,25000,-1231.1600000000008,23768.84
239,2023-05-30,917.05,SBICARD.NS,2023-06-05,919.8,2023-06-23,873.81,Stop Loss,15.0,873.81,27.0,25000,-1241.7300000000002,23758.27
240,2023-01-12,1315.7,SBILIFE.NS,2023-01-18,1310.65,2023-01-30,1245.1175,Stop Loss,8.0,1245.1175,19.0,25000,-1245.1175000000005,23754.8825
241,2023-06-07,1245.8,SBILIFE.NS,2023-06-13,1243.3,2023-08-08,1349.35,40th Day,40.0,1181.135,20.0,25000,2120.999999999999,27121.0
242,2023-06-16,1281.35,SBILIFE.NS,2023-06-22,1276.5,2023-08-18,1282.45,40th Day,40.0,1212.675,19.0,25000,113.05000000000086,25113.05
243,2023-03-31,523.75,SBIN.NS,2023-04-10,526.3,2023-06-06,585.35,40th Day,40.0,499.98499999999996,47.0,25000,2775.350000000003,27775.350000000002
244,2023-07-03,585.45,SBIN.NS,2023-07-07,593.6,2023-08-14,563.92,Stop Loss,27.0,563.92,42.0,25000,-1246.5600000000027,23753.44
245,2023-07-19,601.45,SBIN.NS,2023-07-25,609.6,2023-08-04,579.12,Stop Loss,9.0,579.12,41.0,25000,-1249.6800000000007,23750.32
