Date,Symbol,High,Low,Open,Close,PP,R1,S1,R2,S2,Breakout_R1
2023-01-02,RELIANCE.NS,2380.42,2351.99,2353.65,2377.55,,,,,,False
2023-01-03,RELIANCE.NS,2374.88,2351.62,2367.54,2360.16,,,,,,False
2023-01-04,RELIANCE.NS,2363.85,2320.42,2360.11,2324.62,,,,,,False
2023-01-05,RELIANCE.NS,2341.1,2311.19,2329.19,2320.47,,,,,,False
2023-01-06,RELIANCE.NS,2351.76,2324.39,2332.1,2341.56,,,,,,False
2023-01-09,RELIANCE.NS,2401.65,2347.51,2349.31,2396.85,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,False
2023-01-10,RELIANCE.NS,2405.34,2349.96,2405.34,2361.4,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,False
2023-01-11,RELIANCE.NS,2361.03,2326.97,2355.96,2331.64,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,False
2023-01-12,RELIANCE.NS,2337.5,2275.19,2330.44,2281.29,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,False
2023-01-13,RELIANCE.NS,2282.49,2247.14,2269.1,2277.59,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,False
2023-01-16,RELIANCE.NS,2288.72,2240.12,2282.3,2255.9,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,False
2023-01-17,RELIANCE.NS,2291.81,2261.9,2268.73,2287.93,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,False
2023-01-18,RELIANCE.NS,2299.28,2270.9,2283.04,2284.15,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,False
2023-01-19,RELIANCE.NS,2290.1,2267.49,2282.49,2281.7,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,False
2023-01-20,RELIANCE.NS,2284.42,2249.58,2284.42,2254.57,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,False
2023-01-23,RELIANCE.NS,2276.3,2238.27,2260.43,2243.17,2264.6566666666663,2289.1933333333327,2230.0333333333324,2323.8166666666666,2205.496666666666,False
2023-01-24,RELIANCE.NS,2255.49,2203.52,2252.12,2229.92,2264.6566666666663,2289.1933333333327,2230.0333333333324,2323.8166666666666,2205.496666666666,False
2023-01-25,RELIANCE.NS,2228.77,2196.74,2226.69,2199.09,2264.6566666666663,2289.1933333333327,2230.0333333333324,2323.8166666666666,2205.496666666666,False
2023-01-27,RELIANCE.NS,2203.52,2133.65,2200.8,2157.37,2264.6566666666663,2289.1933333333327,2230.0333333333324,2323.8166666666666,2205.496666666666,False
2023-01-30,RELIANCE.NS,2189.26,2123.82,2152.16,2178.05,2189.106666666667,2244.563333333334,2101.913333333334,2331.756666666667,2046.456666666667,False
2023-01-31,RELIANCE.NS,2203.8,2160.74,2198.59,2172.6,2189.106666666667,2244.563333333334,2101.913333333334,2331.756666666667,2046.456666666667,False
2023-02-01,RELIANCE.NS,2196.69,2127.51,2196.69,2159.73,2189.106666666667,2244.563333333334,2101.913333333334,2331.756666666667,2046.456666666667,False
2023-02-02,RELIANCE.NS,2167.2,2133.05,2139.51,2147.77,2189.106666666667,2244.563333333334,2101.913333333334,2331.756666666667,2046.456666666667,False
2023-02-03,RELIANCE.NS,2168.13,2116.44,2168.13,2149.67,2189.106666666667,2244.563333333334,2101.913333333334,2331.756666666667,2046.456666666667,False
2023-02-06,RELIANCE.NS,2142.28,2128.25,2136.74,2133.47,2156.6366666666668,2196.8333333333335,2109.4733333333334,2243.996666666667,2069.2766666666666,False
2023-02-07,RELIANCE.NS,2148.19,2116.44,2133.98,2128.34,2156.6366666666668,2196.8333333333335,2109.4733333333334,2243.996666666667,2069.2766666666666,False
2023-02-08,RELIANCE.NS,2178.19,2129.36,2134.9,2170.85,2156.6366666666668,2196.8333333333335,2109.4733333333334,2243.996666666667,2069.2766666666666,False
2023-02-09,RELIANCE.NS,2188.29,2154.28,2172.23,2174.63,2156.6366666666668,2196.8333333333335,2109.4733333333334,2243.996666666667,2069.2766666666666,False
2023-02-10,RELIANCE.NS,2173.57,2142.56,2173.57,2156.73,2156.6366666666668,2196.8333333333335,2109.4733333333334,2243.996666666667,2069.2766666666666,False
