Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Week,Week_low,Week_high,Week_close,PP,R1,S1,R2,S2,R3,S3,Candle_Color,Previous_close,Next_close_1,Next_close_2,Next_close_3,Next_close_4,Candle_Size,Breakout_R1,20day_avg_movement,25day_avg_movement,30day_avg_movement,35day_avg_movement,40day_avg_movement,20day_%_movement,25day_%_movement,30day_%_movement,35day_%_movement,40day_%_movement
2023-01-02,2353.65,2380.42,2351.99,2377.55,2369.19,2658087.0,RELIANCE.NS,2023-01-02,2311.19,2380.42,2341.56,,,,,,,,Red,,2360.16,2324.62,2320.47,2341.56,23.90000000000009,False,2239.193,2222.3544,2224.0756666666666,2221.015142857143,2215.36375,-4.371743623908836,-5.090862501921786,-5.01735310362892,-5.148057583100878,-5.389409197287278
2023-01-03,2367.54,2374.88,2351.62,2360.16,2351.85,3829466.0,RELIANCE.NS,2023-01-02,2311.19,2380.42,2341.56,,,,,,,,Green,2377.55,2324.62,2320.47,2341.56,2396.85,-7.380000000000109,False,2225.7675,2214.28,2219.0696666666668,2213.7825714285714,2211.22275,-7.137805870204643,-7.617080751820085,-7.4172490282384445,-7.637834181172311,-7.744633581575819
2023-01-04,2360.11,2363.85,2320.42,2324.62,2316.44,4632445.0,RELIANCE.NS,2023-01-02,2311.19,2380.42,2341.56,,,,,,,,Green,2360.16,2320.47,2341.56,2396.85,2361.4,-35.49000000000024,False,2216.2400000000002,2209.6116,2213.547,2208.126,2206.6275,-6.147200813076982,-6.427898704158546,-6.261243330227834,-6.490810536122633,-6.554268654188195
2023-01-05,2329.19,2341.1,2311.19,2320.47,2312.3,6818549.0,RELIANCE.NS,2023-01-02,2311.19,2380.42,2341.56,,,,,,,,Green,2324.62,2341.56,2396.85,2361.4,2331.64,-8.720000000000255,False,2208.3895,2206.0636,2208.6656666666668,2202.8488571428575,2201.93275,-5.286000411727353,-5.385754233071998,-5.274156101856767,-5.523628984626375,-5.562919232814669
2023-01-06,2332.1,2351.76,2324.39,2341.56,2333.32,3174798.0,RELIANCE.NS,2023-01-02,2311.19,2380.42,2341.56,,,,,,,,Red,2320.47,2396.85,2361.4,2331.64,2281.29,9.460000000000036,False,2202.1615,2204.9040000000005,2205.9610000000002,2200.5754285714283,2197.61525,-3.468585756304538,-3.348368686138085,-3.3020352519846106,-3.538110956019253,-3.667869933239533
2023-01-09,2349.31,2401.65,2347.51,2396.85,2388.41,5361376.0,RELIANCE.NS,2023-01-09,2247.14,2405.34,2277.59,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,2446.8199999999997,7138.43,Red,2341.56,2361.4,2331.64,2281.29,2277.59,47.539999999999964,False,2195.5045,2202.94,2202.892,2199.0222857142858,2193.193,-3.604050772966168,-3.27758727426798,-3.279694765080647,-3.4495986672629564,-3.705539627413184
2023-01-10,2405.34,2405.34,2349.96,2361.4,2353.09,4023571.0,RELIANCE.NS,2023-01-09,2247.14,2405.34,2277.59,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,2446.8199999999997,7138.43,Green,2396.85,2331.64,2281.29,2277.59,2255.9,-43.940000000000055,False,2192.459,2202.5708,2199.152333333333,2198.316857142857,2188.4155,-2.8122257192251543,-2.363987765415139,-2.5155222601474843,-2.5525574208583373,-2.991466820337782
2023-01-11,2355.96,2361.03,2326.97,2331.64,2323.43,5754776.0,RELIANCE.NS,2023-01-09,2247.14,2405.34,2277.59,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,2446.8199999999997,7138.43,Green,2361.4,2281.29,2277.59,2255.9,2287.93,-24.320000000000164,False,2190.297,2198.8824,2195.002,2195.1642857142856,2182.57975,-4.26730712915167,-3.892059634691616,-4.061662725695275,-4.054569601592455,-4.604609843832633
2023-01-12,2330.44,2337.5,2275.19,2281.29,2273.26,8844386.0,RELIANCE.NS,2023-01-09,2247.14,2405.34,2277.59,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,2446.8199999999997,7138.43,Green,2331.64,2277.59,2255.9,2287.93,2284.15,-49.15000000000009,False,2188.2365,2194.9244,2190.4283333333337,2191.155714285714,2176.7740000000003,-4.199089376792247,-3.9062933695247777,-4.103130996942685,-4.07128628655237,-4.700917190202033
2023-01-13,2269.1,2282.49,2247.14,2277.59,2269.58,10309291.0,RELIANCE.NS,2023-01-09,2247.14,2405.34,2277.59,2344.39,2377.5899999999997,2308.3599999999997,2413.62,2275.16,2446.8199999999997,7138.43,Red,2281.29,2255.9,2287.93,2284.15,2281.7,8.490000000000236,False,2186.7665,2191.6623999999997,2187.762333333333,2186.2097142857147,2170.52525,-4.160647762633109,-3.9460752947363864,-4.117003403894759,-4.18504999405203,-4.872452557303751
2023-01-16,2282.3,2288.72,2240.12,2255.9,2247.96,6811927.0,RELIANCE.NS,2023-01-16,2240.12,2299.28,2254.57,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,2531.1066666666666,7183.586666666667,Green,2277.59,2287.93,2284.15,2281.7,2254.57,-26.40000000000009,False,2185.4625,2188.9004,2186.7176666666664,2181.8134285714286,2166.5342499999997,-3.065218644797015,-2.912732804925115,-3.0095465358509035,-3.227070857350693,-3.904768980337734
2023-01-17,2268.73,2291.81,2261.9,2287.93,2279.88,5375500.0,RELIANCE.NS,2023-01-16,2240.12,2299.28,2254.57,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,2531.1066666666666,7183.586666666667,Red,2255.9,2284.15,2281.7,2254.57,2243.17,19.199999999999818,False,2185.6375,2184.922,2186.3190000000004,2176.7171428571432,2162.9875,-2.564785549022154,-2.5966823736052125,-2.5344044365785767,-2.962453008147257,-3.5745173125532124
2023-01-18,2283.04,2299.28,2270.9,2284.15,2276.11,6724143.0,RELIANCE.NS,2023-01-16,2240.12,2299.28,2254.57,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,2531.1066666666666,7183.586666666667,Red,2287.93,2281.7,2254.57,2243.17,2229.92,1.1100000000001273,False,2183.9275000000002,2182.262,2184.574666666667,2171.705142857143,2159.1075,-2.0625179378632343,-2.137206715935993,-2.033495969960052,-2.6106253651636377,-3.1755623520126277
2023-01-19,2282.49,2290.1,2267.49,2281.7,2273.67,5970027.0,RELIANCE.NS,2023-01-16,2240.12,2299.28,2254.57,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,2531.1066666666666,7183.586666666667,Green,2284.15,2254.57,2243.17,2229.92,2199.09,-0.7899999999999636,False,2183.2329999999997,2180.176,2182.733333333333,2167.500285714286,2154.9715,-0.7210709884543345,-0.8600830343460347,-0.7437925081132206,-1.4364902885154454,-2.006216207613151
2023-01-20,2284.42,2284.42,2249.58,2254.57,2246.63,7465143.0,RELIANCE.NS,2023-01-16,2240.12,2299.28,2254.57,2310.023333333333,2372.9066666666663,2214.706666666666,2468.2233333333334,2151.823333333333,2531.1066666666666,7183.586666666667,Green,2281.7,2243.17,2229.92,2199.09,2157.37,-29.84999999999991,False,2185.3720000000003,2181.95,2181.1073333333334,2163.9111428571427,2152.66875,1.2979692866777792,1.1393502273601621,1.1002903226304939,0.3031998617364133,-0.21791579562152405
2023-01-23,2260.43,2276.3,2238.27,2243.17,2235.27,5477059.0,RELIANCE.NS,2023-01-23,2133.65,2276.3,2157.37,2264.6566666666663,2289.1933333333327,2230.0333333333324,2323.8166666666666,2205.496666666666,2348.353333333333,6887.753333333332,Green,2254.57,2229.92,2199.09,2157.37,2178.05,-17.259999999999764,False,2185.7455,2183.7572,2178.529,2161.5362857142854,2150.09,0.3533206308395037,0.26203255205343445,0.021992148940557583,-0.7581880253306738,-1.2837170863846117
2023-01-24,2252.12,2255.49,2203.52,2229.92,2222.07,8244377.0,RELIANCE.NS,2023-01-23,2133.65,2276.3,2157.37,2264.6566666666663,2289.1933333333327,2230.0333333333324,2323.8166666666666,2205.496666666666,2348.353333333333,6887.753333333332,Green,2243.17,2199.09,2157.37,2178.05,2172.6,-22.199999999999818,False,2184.3010000000004,2186.1016,2174.9356666666667,2159.499142857143,2147.3407500000003,0.5385712970634482,0.6214489551689245,0.10750560004910426,-0.6030036427716546,-1.162627727147179
2023-01-25,2226.69,2228.77,2196.74,2199.09,2191.35,6192509.0,RELIANCE.NS,2023-01-23,2133.65,2276.3,2157.37,2264.6566666666663,2289.1933333333327,2230.0333333333324,2323.8166666666666,2205.496666666666,2348.353333333333,6887.753333333332,Green,2229.92,2157.37,2178.05,2172.6,2159.73,-27.59999999999991,False,2184.4855,2186.816,2171.428,2157.070285714286,2147.1365,1.1462312418681853,1.254138248762567,0.5416417792964798,-0.12315031442421123,-0.5831052955693512
2023-01-27,2200.8,2203.52,2133.65,2157.37,2149.78,12915487.0,RELIANCE.NS,2023-01-23,2133.65,2276.3,2157.37,2264.6566666666663,2289.1933333333327,2230.0333333333324,2323.8166666666666,2205.496666666666,2348.353333333333,6887.753333333332,Green,2199.09,2178.05,2172.6,2159.73,2147.77,-43.43000000000029,False,2184.4440000000004,2186.6592,2168.2329999999997,2153.809714285714,2147.2405,1.7075385166940797,1.8106780521191783,0.9527556488823169,0.2812086157136996,-0.024653477793250594
